title,ingredients,instructions,yield,time,notes,author,source_url,error
,,,,,,,https://www.jamesbeard.org/investment-fund,Expecting value: line 1 column 1 (char 0)
Grilled Leeks With Brown Butter and Spiced Hazelnuts,"['1 cup crushed blanched hazelnuts', '¼ cup sesame seeds', '4 Tbsp. unsalted butter', '¼ cup plus 3 Tbsp. extra-virgin olive oil', '1¼ tsp. smoked paprika', '1 tsp. light or dark brown sugar', '3 tsp. Diamond Crystal or 1½ tsp. Morton kosher salt, divided', '1 tsp. freshly ground black pepper, plus more', '3 garlic cloves', '12 medium leeks or 8 large leeks, white and pale green parts only, roots trimmed, halved, quartered if large', '2 Tbsp. sherry vinegar or red wine vinegar']","['Prepare a grill for medium-low heat. Cook hazelnuts, sesame seeds, butter, and ¼ cup oil in a small saucepan over medium-low heat, stirring and swirling pan often, until nuts are a deep golden brown, 7–10 minutes. Remove from heat and stir in paprika, brown sugar, 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, and 1 tsp. pepper. Finely grate in garlic; stir to combine. Set aside.', 'Place leeks in a medium bowl and toss with remaining 3 Tbsp. oil and 2 tsp. Diamond Crystal or 1 tsp. Morton kosher salt; season with pepper.', 'Arrange leeks, cut side down, on grate. Cover and grill, undisturbed, until deeply charred underneath, 10–15 minutes. Using tongs, turn leeks over. Cover and grill until deeply charred on other side and very soft inside (cut through one to test), 10–13 minutes.', 'Transfer leeks to a platter. Drizzle vinegar over; top with sauce and nuts.']",8 - 10 Servings,"{'prep': None, 'cook': '27-38 minutes', 'total': None}","The glory of these leeks is the contrast between their deeply charred exteriors and jammy, sweet interiors. Pay attention to the hot spots on your grill and move leeks around if they are charring more quickly in some places than others.",Molly Baz,https://www.bonappetit.com/recipe/grilled-leeks-with-brown-butter-and-spiced-hazelnuts,
Peanut Butter and Jelly Cookies Recipe,"['10 tablespoons|162 grams crunchy peanut butter', '1 ½ cups|253 grams all-purpose flour', '1 ½ teaspoons baking soda', '1 teaspoon kosher salt', '1 cup|265 grams creamy peanut butter', '½ cup|140 grams granulated sugar', '½ cup|120 grams light brown sugar', '8 tablespoons|113 grams unsalted butter, at room temperature', '2 large eggs', '1 ½ teaspoons vanilla extract', '10 teaspoons|85 grams strawberry jam or preserves']","['Dollop the crunchy peanut butter into 10 equal-sized pieces (about 1 tablespoon each) on a sheet tray and freeze until ready to use.', 'Heat the oven to 375°F. Whisk together the flour, baking soda, and salt in a small bowl.', 'In a large bowl and using a hand mixer, beat the creamy peanut butter, sugars, and butter until light and fluffy, 2 to 3 minutes.', 'Add the eggs, one at a time and make sure the first is fully incorporated before adding the next, then add the vanilla and beat until smooth.', 'Add the dry ingredients and beat until fully incorporated, then roll the dough into 10 equal-sized balls and place on a parchment paper-lined baking sheet.', 'Working with one ball of dough at a time, flatten the ball into a 3-inch circle in the palm of your hand. Add in 1 teaspoon of the jam, then a dollop of the frozen peanut butter.', 'Carefully seal the dough around the peanut butter and jam and roll it back into a ball. Some of the jelly may ooze out slightly, and that’s ok! Repeat with the remaining cookie dough.', 'Divide the dough among 2 parchment paper-lined baking sheets and bake, turning once halfway through, until golden on top, 15 to 17 minutes.', 'Cool slightly, then transfer to a cooling rack to cool completely before serving.']",Makes 10 cookies,"{'prep': '20 minutes', 'cook': None, 'total': '1 hour'}",,Farideh Sadeghin,https://www.vice.com/en/article/884jqa/peanut-butter-and-jelly-cookies-recipe?utm_campaign=later-linkinbio-munchies&utm_content=later-11119845&utm_medium=social&utm_source=instagram,
,,,,,,,https://www.cookerru.com/tteokbokki/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://www.theroastedroot.net/caramelized-cabbage-with-bacon-keto-paleo-whole30/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://www.instagram.com/p/CGYILBhDHpY/?igshid=stk1gfkpwgyp,Expecting value: line 1 column 1 (char 0)
Coca-Cola Cake with Sour Cream Whip,"['1 ½ cups all-purpose flour', '1 ½ cups granulated sugar', '3 tablespoons cocoa powder', '¾ teaspoons baking soda', '1 ½ teaspoons salt', '¾ teaspoon cinnamon', '¾ cup butter, melted', '9 ounces Coke, room temp', '⅓ cup buttermilk', '2 eggs', '1 ½ teaspoons vanilla', '6 ounces Coke (for glaze)', '4 tablespoons butter (for glaze)', '1 teaspoon salt (for glaze)', '2 tablespoons cocoa powder (for glaze)', '2 cups 10x confectioners sugar (for glaze)', '1 cup heavy cream (for whip)', '½ cup sour cream (for whip)', '2 teaspoons 10x confectioners sugar (for whip)', '¼ teaspoon salt (for whip)']","['Heat oven to 350 degrees, coat an 8x8 pan liberally with pan spray.', 'In a large bowl, sift together flour, sugar, cocoa, baking soda, salt, and cinnamon.', 'Whisk together melted butter with Coke, buttermilk, eggs, and vanilla.', 'Whisk Coke mixture into flour mixture until thoroughly combined. Pour into the prepared pan.', 'Bake for approximately 35 minutes until a toothpick comes out clean, rotating halfway through.', 'Prepare glaze during the second half of the baking time.', 'For the glaze, combine Coke, butter, salt, and cocoa powder in a saucepan and bring to a boil.', 'Remove from heat and whisk in confectioners sugar until smooth.', 'Pour the glaze over the hot cake immediately after it comes out of the oven.', 'For the whip, whisk heavy cream, sour cream, confectioners sugar, and salt together until soft peaks form.', 'Serve the cake with the sour cream whip.']",,"{'prep': None, 'cook': '35 minutes', 'total': None}","The cake is a good candidate for mailing to out-of-state family. Use Mexican Coke for better flavor, and high-quality cinnamon for best results.",Bill Clark,https://apieceofcake.substack.com/p/a-piece-of-cake-1,
,,,,,,,https://foodbymars.com/recipe-index/,Expecting value: line 1 column 1 (char 0)
Tigernut Flour Shortbread Cookies,"['1 cup tigernut flour', '1/4 cup coconut butter', '2 tablespoons maple syrup', '1 teaspoon vanilla extract', 'Optional: carob powder and coconut oil for dipping']","['Preheat the oven to 350°F (175°C) and line a baking sheet with parchment paper.', 'In a mixing bowl, combine tigernut flour, coconut butter, maple syrup, and vanilla extract. Mix until a dough forms.', 'Roll the dough into small balls and flatten them slightly to form cookie shapes.', 'Place the cookies on the prepared baking sheet.', 'Bake for 12-15 minutes or until the edges are golden brown.', 'Allow the cookies to cool completely on a wire rack.', 'For the carob coating (optional): melt coconut oil and sift in carob powder. Dip the cooled cookies into the mixture and let them set in the refrigerator.']",6 cookies,"{'prep': '10 minutes', 'cook': '15 minutes', 'total': '25 minutes'}","These cookies are grain-free, nut-free, and AIP-friendly. You can substitute carob with melted chocolate if AIP is not a concern.",Natalie,https://nataliejo.co/tigernut-flour-shortbread-cookies/,
,,,,,,,https://www.buzzfeed.com/daniellehealy/kitchen-products-our-readers-loved-in-2020?ref=bfbiobuzzfeedtasty&utm_campaign=bfbiobuzzfeedtasty&utm_source=buzzfeed.bio&p_id=23967,Expecting value: line 1 column 1 (char 0)
Chicken and Dumplings Recipe,"['Butter', 'Diced onion', 'Carrot', 'Celery ribs', 'Salt', 'Pepper', 'Thyme', 'All-purpose flour', 'Chicken stock or chicken broth', 'Milk', 'Cooked chicken', 'Chives', 'Baking powder']","['Place a large pot over medium-high heat and melt butter.', 'Add diced onion, carrot, and celery ribs and sauté for 4 to 5 minutes or until vegetables soften. Season with salt and pepper. Add thyme and continue to cook mixture for another minute.', 'Sprinkle all-purpose flour over mixture and stir together until mixture is well coated and no dry spots remain.', 'Stir in chicken stock (or chicken broth) and lower heat to medium. Continue to stir together until mixture thickens and is smooth with no lumps of flour.', 'Stir in milk, season with salt and pepper and gently boil until soup is thick enough to coat the back of a wooden spoon.', 'Fold in chicken.', 'In a medium bowl, combine flour, chives, thyme, baking powder, and salt. Whisk together.', 'Add butter and continue to stir together until mixture is crumbly.', 'Stir in milk until mixture just comes together into a thick batter.', 'Scoop 3 heaping tablespoon-sized scoops of batter into the soup until all batter has been used. Cover pot and simmer for 12 to 15 minutes until dumplings have puffed up and just cooked through.', 'Uncover, season with salt and black pepper, gently stir, and top with thyme and chives.']",Serves 4,"{'prep': '10 minutes', 'cook': '20 minutes', 'total': '30 minutes'}","['Don’t over-mix the batter to avoid dense dumplings.', 'Use a toothpick to check dumpling doneness.', 'Scoop and drop dumplings into the pot without handling them too much.', 'Use an ice cream/cookie scooper for easy handling.', 'Cover and don’t peek to ensure even cooking.']",Jenny Park,https://www.spoonforkbacon.com/chicken-and-dumplings/,
,,,,,,,https://www.paleorunningmomma.com/thai-shrimp-soup-paleo-whole30-keto/,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://www.halfbakedharvest.com/creamy-pesto-pasta/#wprm-recipe-container-100448,Expecting value: line 1 column 1 (char 0)
,,,,,,,https://www.kingarthurbaking.com/recipes/keto-friendly-pizza-crust-recipe,Expecting value: line 1 column 1 (char 0)
Shrimp and Cabbage Curry,"['1 red bell pepper, ribs and seeds removed, coarsely chopped', '2 red Thai chiles or 1 small red Fresno chile, seeds removed if desired, coarsely chopped', '1 lemongrass stalk, bottom third only, tough outer layers removed, finely chopped', '4 garlic cloves, smashed', '1 4"" piece ginger, peeled, finely grated', '2 Tbsp. smoked paprika', '2 tsp. ground coriander', '1 tsp. ground cumin', '1 tsp. ground turmeric', 'Kosher salt', '3 Tbsp. (or more) virgin coconut oil', '½ medium head of green cabbage, cut into 4 wedges through root end', '1 13.5-oz. can unsweetened coconut milk', '1 lb. large shrimp, shelled, deveined', '4 scallions, chopped', '2 tsp. finely grated lime zest', '2 Tbsp. fresh lime juice', 'Small handful of torn tender herbs (such as cilantro, basil, and/or mint)', 'Lime wedges (for serving)']","['Blend red bell pepper, chiles, lemongrass, garlic, ginger, paprika, coriander, cumin, turmeric, and a couple of big pinches of salt in a blender until a smooth paste forms.', 'Heat oil in a large pot over medium-high. Cook cabbage until deeply browned on both cut sides, about 2 minutes per side. Transfer to a plate.', 'If pot looks dry, add another 1 Tbsp. oil. Add curry paste to pot (still over medium-high heat) and cook, stirring often, until paste is slightly darkened in color and beginning to stick to bottom of pot, about 5 minutes. Pour coconut milk and 2 cups water into pot and reduce heat to medium; season with salt. Cook, scraping up any curry paste stuck to pot until flavors come together and curry is slightly thickened, 10–12 minutes.', 'While the curry is cooking, coarsely chop cabbage.', 'Season shrimp with salt and add to curry. Cook, stirring, until shrimp are just cooked through, about 3 minutes. Remove pot from heat; stir in cabbage, scallions, and lime zest and juice.', 'Divide curry among bowls and top with herbs. Serve with lime wedges.']",4 servings,"{'prep': None, 'cook': None, 'total': None}","To make this dish vegetarian, skip the shrimp and add cubed pumpkin or squash instead.",Devonn Francis,https://www.bonappetit.com/recipe/shrimp-and-cabbage-curry?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing,
,,,,,,,https://twitter.com/yishan/status/1348548072133906436,Expecting value: line 1 column 1 (char 0)
Carrot Cake,"['2 cups all-purpose flour', '2 teaspoons baking soda', '1/2 teaspoon salt', '1 1/2 teaspoons ground cinnamon', '1 1/4 cups vegetable oil', '1 cup granulated sugar', '1 cup packed light brown sugar', '1 teaspoon vanilla extract', '4 large eggs', '3 cups grated carrots', '1 cup coarsely chopped walnuts', '1/2 cup raisins']","['Preheat oven to 350°F (175°C). Grease and flour a 9x13 inch pan.', 'In a medium bowl, mix together flour, baking soda, salt, and cinnamon.', 'In a large bowl, beat together eggs, oil, sugars, and vanilla. Mix in the flour mixture.', 'Stir in the grated carrots, walnuts, and raisins.', 'Pour into prepared pan.', 'Bake in preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean.', 'Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.']",12 servings,"{'prep': '20 minutes', 'cook': '50 minutes', 'total': '1 hour 10 minutes'}",This carrot cake is a family favorite and perfect for any occasion.,Amy Zitelman,https://www.jewishfoodsociety.org/posts/2021/1/20/how-the-soom-sisters-continue-a-family-tradition-of-working-in-the-food-industry?utm_source=JFS+Newsletter&utm_campaign=85f2661f3c-EMAIL_CAMPAIGN_2017_09_28_COPY_02&utm_medium=email&utm_term=0_fe5a0fb602-85f2661f3c-97397905&mc_cid=85f2661f3c&mc_eid=95914746cb#carrotcake,
Parsnip and Potato Fritters with Bottarga Sauce,"['500g parsnips', '2 garlic cloves', '5 black peppercorns', '2-3 strips lemon peel', '2-3 thyme sprigs', '500ml single cream, plus 100ml extra, warmed', '500g baking potatoes (russet or maris piper)', 'Salt and black pepper', '100g cold butter, cubed', '140g plain flour, seasoned', '3 eggs', '60ml milk', '215g breadcrumbs, panko for preference', 'Sunflower, rapeseed or vegetable oil, for frying', 'Grated bottarga, to finish (optional)', '25ml colatura di alici, or fish sauce', '125ml lemon juice', '135ml olive oil', '65ml lemon oil']","['Peel and thinly slice the parsnips, then put them in a medium pan with the whole garlic cloves, peppercorns, lemon peel and thyme. Cover with cream and cook on a simmer until parsnips are very tender and the cream has cooked down and thickened significantly. Remove and discard the aromatics, transfer the parsnips and cream to a blender and blitz smooth.', 'While the parsnips are cooking, simmer the potatoes in lightly salted water until the tip of a small, sharp knife pierces them easily. Drain, leave to steam dry for five minutes, then peel. Mash the potatoes with a potato masher or fork, then, little by little, whisk in the cold butter and warmed cream, until emulsified – you want a smooth but still slightly stiff puree, so stop adding cream as soon as it’s the right consistency. Season with salt and pepper.', 'Mix the potato puree with the parsnip puree, then transfer the mix to a medium tray. Cover the surface with clingfilm or similar, to prevent a skin forming, then refrigerate, ideally overnight.', 'Put the seasoned flour in one bowl, beat the eggs with a splash of milk in a second bowl and put the breadcrumbs in a third bowl. With lightly moistened hands, take a golf-ball sized piece of the chilled parsnip mix out of the tray and roll it into a ball. Drop the ball into the flour bowl, to coat, then roll in the egg mixture, before finally coating it in breadcrumbs and placing on a tray. Repeat with the remaining parsnip mix.', 'Whisk all the sauce ingredients in a bowl until slightly thickened and emulsified, then set aside.', 'Fill a wide, deep-sided saucepan with enough oil to come 5-7cm up the sides, and heat it to 180C. Once the oil is at temperature, fry the fritters a few at a time, until golden.', 'Spoon the sauce on to a platter, place the fritters on top or alongside, so you can drag them through the sauce, and serve hot – if you’re feeling decadent, grate a smattering of bottarga on top.']",Serves 6–8 as a snack,"{'prep': '20 min', 'cook': '1 hr 20 min', 'total': 'Overnight'}",,Pamela Yung,https://www.theguardian.com/food/2021/jan/30/new-ways-with-winter-vegetables-recipes-parnsip-potato-fritters-celeriac-cake-winter-citrus-chicory-buttermilk-dressing,
Chicken Tinga Recipe,"['2 cups|232 grams instant corn masa flour', '1 ¾ cups|415 ml chicken stock', '2 tablespoons lard', '¼ teaspoon kosher salt', '3 boneless skinless chicken breasts (about 2 pounds|950 grams)', '1 teaspoon kosher salt', '½ teaspoon whole black peppercorns', '2 garlic cloves', '1 bay leaf', '1 small yellow onion, halved', '2 tablespoons olive oil', '5 medium Spanish onions, thinly sliced', '4 vine-ripe tomatoes, cored and diced', '1 chicken bouillon cube', '1 teaspoon ground cumin', '½ teaspoon white pepper', '1 (7-ounce|200-gram) can La Morena chipotle in adobo sauce', 'crema mexicana', 'cotija cheese', 'radish slices', 'cilantro leaves']","['Place the chicken in a large saucepan with ½ teaspoon salt, the black pepper, garlic, bay leaf, and yellow onion. Cover completely with water and bring to a boil. Reduce the heat to maintain a simmer and cover. Cook until tender and cooked through, 25 to 30 minutes, then strain, saving the cooking liquid. Discard the garlic, bay leaf, and onion and cool the chicken, then shred it.', 'Heat the olive oil in a large cast-iron skillet over medium-high. Add the onions and cook until soft, 5 minutes. Add the remaining ½ teaspoon salt, the tomatoes, bouillon, cumin, and white pepper and cook for 5 minutes more, or until the tomatoes are soft. Add the shredded chicken and the chipotle peppers with their liquid and cook for 3 minutes more. Season with salt and pepper and keep warm.', 'In a large bowl, combine the 1 ¾ cups|414 ml of the reserved chicken cooking liquid, the masa, lard, and salt. Mix well to form a play-dough-like consistency, then divide into 12 equal-sized balls. Cover with a damp towel.', 'Cut 2 circles from a plastic bag the same size as your tortilla press. Place one ball of dough in the middle of the tortilla press and press down, creating a tortilla. Lift the tortilla and rotate it ¼, then press it down again. Do this 4 times until it is an even thickness.', 'Heat a comal or nonstick skillet over medium-high and cook the tortillas, flipping once, until charred and puffed, about 2 minutes. Transfer to a board and wrap in a dish towel to keep warm.', 'Heat the oven to 350°F. Place the tortillas on a baking sheet and bake until crispy, 15 minutes. To serve, top tortillas with the chicken tinga and garnish with some crema, radishes, cheese, and cilantro.']",Servings: 6,"{'prep': '1 ½ hours', 'cook': '30 minutes', 'total': '2 hours'}",,Jessica Moran,https://www.vice.com/en/article/7xnakd/chicken-tinga-recipe?utm_campaign=later-linkinbio-munchies&utm_content=later-13982070&utm_medium=social&utm_source=instagram,
Quick Laksa Recipe,"['¼ cup canola oil', '1 tablespoon ground coriander', '1 tablespoon shrimp paste', '2 teaspoons chili powder', '2 teaspoons ground turmeric', '1 ½ teaspoons ground cumin', '4 garlic cloves, peeled', '1 stalk fresh lemongrass, trimmed and roughly chopped', '½ medium yellow onion, roughly chopped', '1 (1 ½-inch) piece ginger, peeled and roughly chopped', '4 cups chicken stock', '7 ounces coconut milk', '1 tablespoon dark brown sugar', '2 teaspoons kosher salt', '1 ½ tablespoons tamarind paste', '1 (14-ounce) package of ready-cooked egg noodles', '3 ½ ounces bean sprouts', '24 ready-cooked prawns or shrimp (about 9 ½ ounces)', 'fresh cilantro, finely sliced, to garnish', 'fresh mint, finely sliced, to garnish']","['Make the spice paste: Combine all of the ingredients in a blender or food processor and pulse until smooth.', 'In a medium saucepan over medium heat, fry the spice paste, stirring continuously, until the oil separates, about 10 to 12 minutes.', 'Make the broth: Add the stock and coconut milk to the spice paste, along with the brown sugar, salt, and tamarind paste. Bring to a boil, then reduce the heat to maintain a simmer. Cook for about 3 minutes.', 'Divide the egg noodles and bean sprouts between bowls and top each with about 8 shrimp. Pour the laksa broth over the top of each and garnish with the cilantro and mint.']",Servings: 3,"{'prep': '5 minutes', 'cook': '20 minutes', 'total': '25 minutes'}",This is a simplified version of the signature curry laksa with a great kick from chili and shrimp paste.,Mandy Yin,https://www.vice.com/en/article/pgvnv9/quick-laksa?utm_campaign=later-linkinbio-munchies&utm_content=later-13982286&utm_medium=social&utm_source=instagram,
Hungarian Mushroom Soup,"['4 medium yellow or white onions (about 1½ lb.)', '2 lb. mushrooms (crimini and/or shiitake)', '2 medium carrots (about 12 oz.)', '6 garlic cloves', '2 handfuls of parsley leaves with tender stems', '½ cup (1 stick) unsalted butter', 'Kosher salt', '4 tsp. Hungarian sweet paprika, plus more for serving', '4 tsp. dried dill or ¼ cup fresh dill', '2 tsp. dried thyme or 2 Tbsp. fresh thyme', '6 cups low-sodium vegetable broth', '2 cups whole milk', '¼ cup all-purpose flour', '¾ cup sour cream, plus more for serving', 'Freshly ground black pepper']","['Prepare your ingredients. Chop 4 medium yellow or white onions into ¼"" pieces. Gently clean 2 lb. mushrooms and slice caps ¼"" thick. Peel 2 medium carrots and cut into ¼""-thick pieces.', 'Smash, peel, and finely chop 6 garlic cloves. Finely chop 2 handfuls of parsley leaves until you have ¼ cup; set parsley aside.', 'Melt ½ cup unsalted butter in a medium Dutch oven over medium heat. Add onion and a pinch of kosher salt and cook until onion is softened and browned, about 10 minutes. Add mushrooms and carrots and cook until mushrooms start to brown, 12–16 minutes. Add garlic, 4 tsp. Hungarian sweet paprika, 4 tsp. dried dill or ¼ cup fresh dill, and 2 tsp. dried thyme or 2 Tbsp. fresh thyme and cook until fragrant, about 2 minutes.', 'Add 6 cups low-sodium vegetable broth and bring to a boil over high heat. Reduce heat to medium-low and simmer, uncovered, 10 minutes.', 'Whisk 2 cups whole milk and ¼ cup all-purpose flour in a small bowl to combine. Pour into soup and stir well. Bring to a boil over high heat. Reduce heat to medium-low and simmer until soup is thick enough to thinly coat spoon, about 8 minutes. Remove from heat.', 'Mix ¾ cup sour cream and 2–3 Tbsp. broth from soup until loose, then add to soup and stir well to incorporate. Season with salt and freshly ground black pepper.', 'Ladle soup into bowls and top each with a dollop of sour cream, some reserved parsley, and a pinch of paprika.']",6–8 servings,"{'prep': None, 'cook': None, 'total': None}",Soup (without sour cream and toppings) can be made 3 days ahead. Let cool; cover and chill. Reheat before adding sour cream as directed.,Hetal Vasavada,https://www.bonappetit.com/recipe/hungarian-mushroom-soup?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing,
Sweet Potato Pavé,"['1 garlic head, top cut off to expose cloves', '1 tablespoon olive oil, plus more for greasing pan', '1 1/2 teaspoons kosher salt', '1 1/2 cups heavy cream', '2 tablespoons fresh thyme leaves', '3/4 teaspoon black pepper', '3 3/4 pounds sweet potatoes (about 6 medium potatoes), peeled', '1/4 cup unsalted butter, melted', 'Flaky sea salt, for sprinkling']","['Preheat oven to 350°F. Drizzle garlic cloves with oil and wrap garlic head in aluminum foil. Bake in preheated oven until cloves are very tender, about 45 minutes. Set aside.', 'Lightly grease a 9- x 5-inch loaf pan with olive oil and line with parchment paper, allowing 2 inches of overhang on both long sides. Place kosher salt and 5 roasted garlic cloves in a large bowl; using the back of a spoon, smash into a paste. Whisk in cream, thyme, and pepper. Set aside.', 'Using a mandoline, thinly slice potatoes lengthwise into 1/16-inch-thick slices. Add sweet potatoes to cream mixture; toss gently to coat. Layer potato slices in bottom of prepared pan, slightly overlapping to create a shingled layer, trimming potato slices if needed. Continue layering, pressing occasionally, until potatoes are about 1/2 inch from top of pan. Discard remaining cream and potatoes.', 'Fold excess parchment over potatoes and cover pan with aluminum foil. Bake at 350°F until potatoes are tender, about 2 hours. Remove foil from pan, leaving parchment in place. Let cool 2 hours at room temperature. Place a second 9- x 5-inch loaf pan on top of cooled pavé in pan and weigh it down with unopened canned goods. Refrigerate 8 hours or overnight.', 'Carefully remove top pan and weights. Pour off any accumulated liquid around pavé. Invert pavé onto a cutting board; remove and discard parchment paper. Cut pavé crosswise into 8 slices. Place slices on a rimmed baking sheet and refrigerate 20 minutes or up to 4 hours.', 'Preheat oven to 500°F with rack in upper third of oven. Brush pavé slices generously with melted butter and arrange in a single layer on baking sheet. Bake until bottom edges are browned, 6 to 10 minutes. Invert pavé onto a serving platter and sprinkle with flaky sea salt. Serve hot.']",8 servings,"{'prep': '1 hr', 'cook': '14 hrs', 'total': '14 hrs'}","This sweet potato pavé is a fun take on a French classic that requires patience but results in perfect, delicately layered, precisely cut blocks of sweet potato that are caramelized on the outside but creamy on the inside.",Kristen Farmer Hall,https://www.foodandwine.com/recipes/sweet-potato-pave?like2buy_bestofevergreen&utm_source=instagram&utm_medium=social&utm_campaign=foodandwine&utm_content=like2buy&utm_term=curalate_like2buy,
Bok Choy With Brown Sauce and Crispy Garlic,"['3 Tbsp. vegetable oil', '8 oz. shiitake mushrooms, stems removed, caps thinly sliced', '¼ cup Shaoxing wine (Chinese rice wine) or medium-dry sherry', '3 Tbsp. soy sauce', '6 garlic cloves, finely chopped', '3 Tbsp. vegetable oil', 'Kosher salt', '1 lb. baby bok choy, quartered lengthwise']","['Heat oil in a medium pot over medium-high. Cook mushrooms in a single layer, tossing halfway through, until browned, 8–10 minutes. Pour in wine, soy sauce, and ¾ cup water, reduce heat to low, and simmer, stirring occasionally, until mushrooms are very soft, 8–10 minutes.', 'Transfer mushrooms and liquid to a blender and purée, adding more water by the tablespoonful as needed, until sauce is smooth.', 'Combine garlic and oil in a small skillet. Set skillet over low heat and cook, stirring occasionally, until garlic is golden and crisp, about 3 minutes. Strain through a fine-mesh sieve into a small bowl. Season garlic with salt; set oil aside.', 'Heat 1 Tbsp. reserved garlic oil in a large wok or skillet over medium-high. Add bok choy and 2 Tbsp. water and cover immediately. Cook 1 minute. Uncover and toss, then re-cover and cook until bok choy is tender at the core, about 2 minutes.', 'Spoon some brown sauce in a large shallow bowl or on a platter; arrange bok choy over. Top with crispy garlic.']",4 Servings,"{'prep': None, 'cook': None, 'total': None}",Steamed bok choy is taken to another level with this veganized take on oyster sauce from Fat Choy chef and owner Justin Lee.,Justin Lee,https://www.bonappetit.com/recipe/bok-choy-with-brown-sauce-and-crispy-garlic?utm_campaign=likeshopme&client_service_id=31198&utm_social_type=owned&utm_brand=ba&service_user_id=1.78e+16&utm_content=instagram-bio-link&utm_source=instagram&utm_medium=social&client_service_name=bonappetitmag&supported_service_name=instagram_publishing,
Tortellini en Brodo,"['145 grams 00 flour', 'Pinch of salt', '75 grams egg yolk (approximately 4 large yolks)', '25 grams water', '1000 grams cold water', '20 grams dried shiitake mushrooms', '30 grams kombu', '30 grams shaved katsuobushi', '125 grams Parmesan rind', 'Salt, to taste', 'Soy sauce, to taste', '25 grams rehydrated shiitake mushrooms', '2 cloves garlic', 'Zest and juice of 2 lemons', '1 whole egg', '1 pound ricotta cheese, drained in a cheesecloth-lined colander for a few hours or overnight in the refrigerator', 'Pepper, to taste', 'Maitake, white button or any mushroom of your choice']","['First, make the pasta dough: Begin by mixing the flour and salt in the bowl of a stand mixer with a paddle attachment on speed 2. Add the egg yolks and water. Gradually increase the speed to 4. Once everything is incorporated, switch to a dough hook and keep kneading at speed 4 until the dough is smooth and springy; since this is a very stiff dough, this may take up to 5 minutes.', 'Transfer the dough to a clean countertop, making sure to scrape up any pieces left behind in the bowl. Knead the dough by hand for a few minutes. Roll the dough into a ball and wrap with plastic, then rest the dough at room temperature for a minimum of 15 minutes. The dough can be made ahead of time, and kept in the refrigerator for 2 days before shaping.', 'Next, make the Parmesan rind dashi: Combine the cold water, dried shiitake mushrooms, and kombu in a pot and heat over medium heat. Bring to a simmer, making sure that the mushrooms and kombu are submerged and hydrated. Turn off the heat and add the shaved katsuobushi and the Parmesan rinds to the pot. Cover the pot with a lid and let the broth steep for 20 minutes.', 'Strain the steeped broth through a chinois or a colander lined with cheesecloth into a shallow container. Save the hydrated shiitake mushrooms for the filling in the next step. Season the broth with salt and soy sauce to taste.', 'Make the tortellini filling: Place 25 grams of the reserved shiitake mushrooms in a blender and combine them with garlic, lemon zest, and lemon juice, starting at a low speed and increasing gradually to high so that the mushrooms are finely pureed. With the blender on medium speed, add the egg and half of the ricotta cheese. Once the ingredients are well incorporated, add the rest of the ricotta and puree on high speed until smooth. Be careful not to overwork the filling as it will become runny. Transfer the filling into a bowl and season to taste with salt and pepper.', 'Assemble the pasta: Roll out the pasta dough into sheets then divide into quarters. (If you’re rolling the dough manually, then roll until it’s thin and translucent.) Work with one piece at a time, keeping the others covered with plastic or a wet towel.']",Serves 6-8,"{'prep': None, 'cook': None, 'total': None}","The dough can be made ahead of time, and kept in the refrigerator for 2 days before shaping.",Tyler Heckman,https://www.eater.com/22421422/how-to-make-tortellini-en-brodo-recipe-with-dried-shiitake-dashi?_gl=1*cnvb5w*,
Roman-Jewish Fried Artichokes (Carciofi alla Giudia) Recipe,"['Baby artichokes or full-size artichokes', 'Olive oil or neutral oil (such as canola oil) for frying']","['Trim the artichokes by pulling off the tough outer leaves until lighter-colored inner ones are exposed.', 'Use a paring knife to slice off the top portions of all the remaining leaves.', 'Trim the stem with a paring knife or peeler.', 'Heat oil to about 280°F (138°C).', 'Gently lower the artichokes into the oil.', 'Cook for about 10 minutes for baby artichokes and 15 minutes for larger ones, turning larger artichokes every minute or so.', 'Remove the choke from full-size artichokes after the first frying if necessary.', 'Increase the oil temperature and fry the artichokes a second time until crispy.']",,"{'prep': None, 'cook': '10 to 15 minutes', 'total': None}","A two-stage cooking process first tenderizes the artichokes, then crisps them. A choice between olive oil and neutral oil lets you opt for more flavor from the oil, or more flavor from the artichoke.",Daniel Gritzer,https://www.seriouseats.com/roman-jewish-fried-artichokes-carciofi-alla-giudia-recipe,
